n,seconds
1,0.0000061170
2,0.0000036940
3,0.0000043750
4,0.0000059420
5,0.0000073200
6,0.0000090380
7,0.0000109120
8,0.0000128510
9,0.0000156790
10,0.0000181610
11,0.0000206120
12,0.0000231580
13,0.0000258630
14,0.0000286840
15,0.0000320060
16,0.0001093400
17,0.0000527850
18,0.0000425040
19,0.0000460010
20,0.0000498110
21,0.0000545650
22,0.0000587560
23,0.0000813870
24,0.0000776390
25,0.0000882940
26,0.0000772140
27,0.0000830130
28,0.0001538120
29,0.0001025100
30,0.0001137420
31,0.0001097220
32,0.0001493670
33,0.0001218410
34,0.0001287830
35,0.0001574070
36,0.0001484860
37,0.0001544790
38,0.0001554210
39,0.0001903400
40,0.0001856670
41,0.0001770700
42,0.0001840010
43,0.0002079590
44,0.0002600040
45,0.0001969730
46,0.0002058770
47,0.0002703180
48,0.0002635770
49,0.0002284930
50,0.0002359690
51,0.0003200070
52,0.0002684490
53,0.0008820910
54,0.0002748210
55,0.0002847370
56,0.0003410120
57,0.0003052220
58,0.0003141810
59,0.0003403880
60,0.0003325770
61,0.0004054890
62,0.0004490680
63,0.0004303430
64,0.0004787160
65,0.0006349890
66,0.0004866370
67,0.0010128040
68,0.0018179700
69,0.0013142470
70,0.0011021130
71,0.0018522200
72,0.0006757770
73,0.0006438520
74,0.0006270300
75,0.0011652860
76,0.0006689630
77,0.0007737280
78,0.0013462760
79,0.0006966240
80,0.0006301470
81,0.0008485980
82,0.0008848770
83,0.0011298180
84,0.0007483800
85,0.0007128460
86,0.0007810220
87,0.0008213580
88,0.0008060220
89,0.0009151630
90,0.0008449790
91,0.0008040060
92,0.0008007010
93,0.0009705500
94,0.0010259960
95,0.0009941380
96,0.0009180890
97,0.0008824250
98,0.0011018750
99,0.0013306360
100,0.0009487820
101,0.0009619420
102,0.0010249390
103,0.0011091350
104,0.0011592090
105,0.0012867930
106,0.0010625930
107,0.0011101000
108,0.0011487230
109,0.0012715720
110,0.0011092010
111,0.0012513220
112,0.0012753640
113,0.0017448600
114,0.0013463220
115,0.0012320670
116,0.0013521590
117,0.0013036730
118,0.0014743840
119,0.0014504390
120,0.0016397050
121,0.0016763900
122,0.0014074270
123,0.0014652600
124,0.0059841540
125,0.0019252020
126,0.0014496680
127,0.0015791160
128,0.0017288810
129,0.0023883020
130,0.0015812880
131,0.0029320760
132,0.0022831000
133,0.0019151220
134,0.0036978850
135,0.0062253650
136,0.0021135360
137,0.0018403460
138,0.0020527960
139,0.0019835930
140,0.0019442210
141,0.0018315950
142,0.0017629390
143,0.0020738490
144,0.0022582480
145,0.0019660670
146,0.0035349210
147,0.0019017660
148,0.0025398590
149,0.0019886430
150,0.0024284530
151,0.0024013320
152,0.0024491090
153,0.0026346640
154,0.0023113160
155,0.0023453480
156,0.0021777970
157,0.0022818920
158,0.0024592540
159,0.0025668890
160,0.0025094590
161,0.0026351370
162,0.0029136540
163,0.0025160650
164,0.0027516590
165,0.0026371650
166,0.0026696630
167,0.0026842880
168,0.0032257280
169,0.0030517820
170,0.0026501580
171,0.0027436080
172,0.0027573980
173,0.0034203830
174,0.0028272570
175,0.0030295420
176,0.0033346420
177,0.0028887660
178,0.0028068940
179,0.0031492110
180,0.0032258690
181,0.0031557890
182,0.0031262300
183,0.0033470720
184,0.0033760370
185,0.0036621360
186,0.0030888750
187,0.0029230540
188,0.0036415360
189,0.0032370080
190,0.0037950770
191,0.0070426820
192,0.0044338630
193,0.0038996930
194,0.0037147860
195,0.0036378500
196,0.0034951970
197,0.0035287940
198,0.0037990570
199,0.0037236630
200,0.0037949380
201,0.0040497640
202,0.0034425610
203,0.0043055040
204,0.0050100260
205,0.0043954800
206,0.0040049060
207,0.0042010810
208,0.0040875700
209,0.0041167200
210,0.0042916500
211,0.0040028860
212,0.0043734190
213,0.0040886160
214,0.0046757790
215,0.0041973890
216,0.0045646070
217,0.0044368840
218,0.0042889900
219,0.0048017560
220,0.0043817730
221,0.0047674630
222,0.0055003550
223,0.0049890760
224,0.0048605260
225,0.0051372370
226,0.0046211770
227,0.0055200900
228,0.0051476820
229,0.0048398920
230,0.0053821310
231,0.0053306340
232,0.0049225870
233,0.0047731780
234,0.0055384970
235,0.0048804720
236,0.0048834620
237,0.0050921170
238,0.0069169660
239,0.0050230880
240,0.0052450330
241,0.0075651730
242,0.0054086710
243,0.0054409710
244,0.0045470330
245,0.0063551500
246,0.0061828670
247,0.0063230190
248,0.0064387010
249,0.0052699000
250,0.0057169390
251,0.0062169590
252,0.0059681000
253,0.0061274330
254,0.0059747420
255,0.0056502980
256,0.0062069340
257,0.0058675420
258,0.0061743490
259,0.0063367410
260,0.0059270230
261,0.0068407750
262,0.0069489290
263,0.0067229970
264,0.0067613320
265,0.0084455960
266,0.0067170100
267,0.0066496720
268,0.0066495650
269,0.0067055840
270,0.0066591910
271,0.0071273210
272,0.0068442270
273,0.0066190890
274,0.0088488280
275,0.0072689300
276,0.0069797530
277,0.0074646000
278,0.0071037510
279,0.0072885590
280,0.0086079820
281,0.0078154080
282,0.0076320150
283,0.0075904500
284,0.0074717860
285,0.0073739630
286,0.0073533100
287,0.0078145650
288,0.0079310770
289,0.0080109660
290,0.0080766540
291,0.0076571390
292,0.0077423370
293,0.0082651000
294,0.0084572460
295,0.0079853730
296,0.0077518970
297,0.0082370580
298,0.0088308010
299,0.0086498250
300,0.0085753280
301,0.0084563150
302,0.0086970030
303,0.0086655300
304,0.0086990900
305,0.0082882550
306,0.0084838610
307,0.0084313030
308,0.0088740480
309,0.0087302060
310,0.0092710910
311,0.0094273560
312,0.0092505360
313,0.0093962120
314,0.0090553300
315,0.0090955890
316,0.0099166120
317,0.0097380310
318,0.0089220280
319,0.0149049800
320,0.0110701570
321,0.0100825360
322,0.0107072980
323,0.0095542980
324,0.0098367280
325,0.0105255050
326,0.0120243770
327,0.0095758640
328,0.0140620590
329,0.0100796240
330,0.0103988750
331,0.0101373810
332,0.0104192650
333,0.0102343240
334,0.0104645870
335,0.0113517440
336,0.0100703590
337,0.0102463750
338,0.0106894240
339,0.0118729650
340,0.0126578890
341,0.0106402920
342,0.0105288830
343,0.0114482190
344,0.0105745820
345,0.0110838110
346,0.0108800380
347,0.0110471320
348,0.0107836380
349,0.0122203370
350,0.0116563510
351,0.0108842370
352,0.0119444510
353,0.0120202320
354,0.0113258050
355,0.0118407800
356,0.0117441440
357,0.0115026610
358,0.0113845530
359,0.0126354360
360,0.0147580170
361,0.0119409850
362,0.0117982830
363,0.0119030600
